vel_tan,time_1,time_2,time_3,time_4,time_5
-2304.199960257688,1960.0399999983624,3920.080000039146,5880.120000081929,7840.150000124712,9800.190000167495
-2255.174429188375,1954.4699999983675,3908.940000038903,5863.410000081564,7817.880000124226,9772.350000166887
-2206.1488981190623,1949.0499999983724,3898.100000038666,5847.150000081209,7796.190000123753,9745.240000166295
-2157.1233670497504,1943.7699999983772,3887.5400000384357,5831.310000080864,7775.080000123292,9718.84000016572
-2108.0978359804376,1938.6399999983819,3877.2700000382115,5815.900000080527,7754.530000122843,9693.160000165159
-2059.0723049111257,1933.6399999983864,3867.270000037993,5800.9000000802,7734.540000122407,9668.170000164613
-2010.0467738418129,1928.7799999983908,3857.550000037781,5786.330000079882,7715.100000121983,9643.880000164083
-1961.0212427725,1924.0599999983951,3848.110000037575,5772.1600000795725,7696.21000012157,9620.270000163568
-1911.9957117031881,1919.4699999983993,3838.940000037375,5758.400000079272,7677.87000012117,9597.330000163067
-1862.9701806338753,1915.0199999984034,3830.0300000371803,5745.0400000789805,7660.050000120781,9575.070000162581
-1813.9446495645625,1910.6999999984073,3821.3900000369918,5732.080000078698,7642.770000120404,9553.46000016211
-1764.9191184952506,1906.509999998411,3813.010000036809,5719.510000078423,7626.010000120038,9532.510000161652
-1715.8935874259378,1902.4499999984148,3804.8900000366316,5707.330000078157,7609.770000119684,9512.22000016121
-1666.868056356625,1898.5199999984184,3797.03000003646,5695.5400000779,7594.05000011934,9492.56000016078
-1617.842525287313,1894.7099999984218,3789.420000036294,5684.130000077651,7578.840000119008,9473.540000160365
-1568.8169942180011,1891.0399999984252,3782.0700000361335,5673.10000007741,7564.130000118687,9455.160000159964
-1519.7914631486874,1887.4799999984284,3774.9600000359783,5662.4400000771775,7549.920000118377,9437.400000159576
-1470.7659320793755,1884.0599999984315,3768.1100000358288,5652.160000076953,7536.220000118078,9420.270000159202
-1421.7404010100636,1880.7599999984345,3761.5100000356847,5642.260000076737,7523.01000011779,9403.760000158842
-1372.7148699407498,1877.5799999984374,3755.150000035546,5632.720000076529,7510.290000117512,9387.870000158495
-1323.689338871438,1874.5199999984402,3749.0400000354125,5623.560000076329,7498.080000117246,9372.590000158161
-1274.663807802126,1871.5899999984429,3743.1800000352846,5614.770000076137,7486.35000011699,9357.940000157841
-1225.6382767328123,1868.7899999984454,3737.570000035162,5606.350000075953,7475.130000116745,9343.920000157535
-1176.6127456635004,1866.1099999984478,3732.210000035045,5598.320000075778,7464.420000116511,9330.530000157243
-1127.5872145941885,1863.5599999984502,3727.120000034934,5590.670000075611,7454.2300001162885,9317.790000156965
-1078.5616835248748,1861.1499999984524,3722.300000034829,5583.440000075453,7444.590000116078,9305.730000156702
-1029.5361524555628,1858.8799999984544,3717.7600000347297,5576.640000075305,7435.52000011588,9294.400000156455
-980.5106213862509,1856.7799999984563,3713.550000034638,5570.320000075167,7427.100000115696,9283.870000156225
-931.4850903169372,1854.859999998458,3709.710000034554,5564.560000075041,7419.410000115528,9274.260000156015
-882.4595592476253,1853.1599999984596,3706.32000003448,5559.47000007493,7412.63000011538,9265.79000015583
-833.4340281783134,1851.759999998461,3703.520000034419,5555.280000074838,7407.040000115258,9258.800000155677
-784.4084971089997,1850.7799999984618,3701.5700000343763,5552.340000074774,7403.120000115173,9253.90000015557
-735.3829660396877,1850.449999998462,3700.9000000343617,5551.350000074753,7401.790000115144,9252.240000155534
-686.3574349703758,1851.1899999984614,3702.370000034394,5553.560000074801,7404.740000115208,9255.910000155614
-637.3319039010621,1853.829999998459,3707.650000034509,5561.460000074973,7415.260000115438,9269.060000155901
-588.3063728317502,1860.0799999984533,3720.150000034782,5580.170000075382,7440.160000115981,9300.070000156578
-539.2808417624383,1873.689999998441,3747.280000035374,5620.6600000762655,7493.750000117151,9366.440000158027
