Tangential Velocity,Orbital Period 1,Orbital Period 2,Orbital Period 3,Orbital Period 4,Orbital Period 5,Average Orbital Period,Absolute Uncertainty Orbital Period,Theoretical Period
4020.09,2265.95,2265.95,2265.95,2265.95,2265.94,2265.95,0.005,2265.947733
4118.14,2291.56,2291.56,2291.56,2291.56,2291.56,2291.56,0.000,2291.558485
4216.20,2318.30,2318.29,2318.29,2318.29,2318.29,2318.29,0.005,2318.290284
4314.25,2346.20,2346.19,2346.20,2346.19,2346.19,2346.19,0.005,2346.193612
4412.30,2375.33,2375.32,2375.32,2375.32,2375.33,2375.32,0.005,2375.322405
4510.35,2405.74,2405.73,2405.74,2405.73,2405.74,2405.74,0.005,2405.734323
4608.40,2437.50,2437.49,2437.49,2437.49,2437.49,2437.49,0.005,2437.49106
4706.45,2470.66,2470.66,2470.66,2470.66,2470.66,2470.66,0.000,2470.658671
4804.50,2505.31,2505.31,2505.31,2505.31,2505.30,2505.31,0.005,2505.307948
4902.55,2541.52,2541.51,2541.52,2541.51,2541.52,2541.52,0.005,2541.51482
5000.60,2579.37,2579.36,2579.36,2579.36,2579.36,2579.36,0.005,2579.360803
5098.66,2618.94,2618.93,2618.94,2618.93,2618.93,2618.93,0.005,2618.933498
5196.71,2660.33,2660.33,2660.33,2660.32,2660.33,2660.33,0.005,2660.32714
5294.76,2703.65,2703.64,2703.64,2703.65,2703.64,2703.64,0.005,2703.643208
5392.81,2749.00,2748.99,2748.99,2748.99,2748.99,2748.99,0.005,2748.991104
5490.86,2796.49,2796.49,2796.49,2796.49,2796.49,2796.49,0.000,2796.488911
5588.91,2846.27,2846.26,2846.27,2846.26,2846.27,2846.27,0.005,2846.264237
5686.96,2898.46,2898.46,2898.45,2898.46,2898.45,2898.46,0.005,2898.455154
5785.01,2953.22,2953.21,2953.21,2953.21,2953.21,2953.21,0.005,2953.211262
5883.06,3010.70,3010.69,3010.70,3010.69,3010.70,3010.70,0.005,3010.694869
